Place,Rating
Chun Ha Jjambbong / Two Ddak Two Ddak,4.0 star rating
Fukada,4.0 star rating
HiroNori Craft Ramen,4.5 star rating
Urban Seoul,4.0 star rating
North Italia,4.5 star rating
EMC Seafood & Raw Bar,4.0 star rating
Habana,4.0 star rating
Kang Ho Dong Baekjeong,4.0 star rating
California Fish Grill,4.0 star rating
The Stand,4.5 star rating
A & J Restaurant,4.0 star rating
Puesto - Irvine,4.0 star rating
Krave Asian Fusion Restaurant,4.0 star rating
Irvine Donkatsu,4.5 star rating
CUCINA enoteca Irvine,4.0 star rating
The Cut,4.5 star rating
CAVA,4.0 star rating
Burnt Crumbs,4.5 star rating
Burntzilla,4.0 star rating
Hokkaido Ramen Santouka,4.0 star rating
Urban Seoul 2.0,4.0 star rating
Stonefire Grill,4.0 star rating
Two Left Forks,4.0 star rating
I Can Barbecue Korean Grill,4.0 star rating
Miyabi Shabu,4.0 star rating
Le Diplomate Cafe,4.5 star rating
Hen House Grill,4.0 star rating
Shin-Sen-Gumi Hakata Ramen & Udon - Irvine,3.5 star rating
Mokkoji Shabu Shabu Bar,4.0 star rating
Urban Plates,4.0 star rating
Sawleaf Cafe,4.0 star rating
Kingchops,4.0 star rating
Cha Cha’s Latin Kitchen,4.0 star rating
Dada Shabu Shabu Buffet,4.0 star rating
Capital Noodle Bar,4.0 star rating
Tang 190,3.5 star rating
Asian Box,4.0 star rating
MOOYAH Burgers| Fries & Shakes,4.0 star rating
TLT Food,4.5 star rating
Pho Ba Co,4.0 star rating
Noodology,2.5 star rating
Mick’s Karma Bar,4.0 star rating
Fish District,4.0 star rating
Piadina - Irvine,4.0 star rating
TOKYO TABLE,3.5 star rating
Butterleaf,4.0 star rating
Chronic Tacos,4.5 star rating
Kogi- Naranja,4.0 star rating
Texas de Brazil,4.0 star rating
Chan Chan Food House,4.0 star rating
Hot Pot Legend,3.5 star rating
Agora Churrascaria,4.0 star rating
Del Frisco’s Grille,4.0 star rating
Bosscat Kitchen and Libations,4.5 star rating
Curry House CoCo Ichibanya,3.5 star rating
All That Barbecue,3.5 star rating
Ha Long Vietnamese Cuisine,4.0 star rating
Taiko,3.5 star rating
Brio Tuscan Grille,3.5 star rating
Two Birds,4.0 star rating
Spoleto - My Italian Kitchen,4.0 star rating
Slapfish,4.0 star rating
Coast Fish Company,4.0 star rating
Curry House CoCo Ichibanya,3.5 star rating
Mama D’s Italian Kitchen,4.5 star rating
MOOYAH Burgers| Fries & Shakes,4.0 star rating
Fig & Olive Newport Beach,3.5 star rating
Stacks Pancake House,4.0 star rating
Bosscat Kitchen and Libations,4.5 star rating
Tasty Garden,3.5 star rating
Ruth’s Chris Steak House,4.0 star rating
Javier’s - Irvine,3.5 star rating
Mama D’s Italian Kitchen,4.5 star rating
Angelina’s Pizzeria Napoletana,4.0 star rating
Stacks Pancake House,4.0 star rating
Slapfish,4.0 star rating
Bruxie,4.0 star rating
Paper Lantern Dumpling House,3.5 star rating
Coast Fish Company,4.0 star rating
Spoleto - My Italian Kitchen,4.0 star rating
Hokkaido Ramen Santouka - Costa Mesa,4.0 star rating
Meizhou Dongpo,3.5 star rating
Fatty Tuna,4.0 star rating
Wow Bento,4.5 star rating
Furai Chicken,3.5 star rating
Royal Hot Pot,4.0 star rating
Shik Do Rak,3.5 star rating
Jing’s Kitchen,4.5 star rating
Olives Branch Express,4.0 star rating
Kitakata Ramen Ban Nai,4.5 star rating
Sam Woo Restaurant & BBQ Express,3.5 star rating
Cream Pan,4.5 star rating
Pig Pen Delicacy,4.0 star rating
Class 302,3.0 star rating
Boiling Point,3.5 star rating
Oo Toro Sushi,4.5 star rating
Chai Lan,3.5 star rating
Seoul Haus,4.0 star rating
Olive Oil Mediterranean Grill,4.0 star rating
Habana,4.0 star rating
Burger Lounge,4.0 star rating
Driftwood Kitchen,4.0 star rating
Square One Pizza Cafe,4.5 star rating
The Hungry Royal,5.0 star rating
Maka Poke & Teriyaki,4.5 star rating
Panini Kabob Grill,4.0 star rating
Capital Seafood,3.5 star rating
The Kickin’ Crab,3.5 star rating
Panini Kabob Grill,4.0 star rating
House of Shabu Shabu,3.5 star rating
The Vox Kitchen,4.5 star rating
The Beachcomber,4.0 star rating
Board & Brew - Tustin,4.5 star rating
H2O Poke & Grill,4.0 star rating
Spice Grill,3.5 star rating
Yard House,3.5 star rating
Cha For Tea,3.5 star rating
Dogzilla,4.5 star rating
Curry House,3.5 star rating
Mendocino Farms,4.0 star rating
Bistango,4.0 star rating
Anjin,4.5 star rating
Ritter’s Steam Kettle Cooking,4.0 star rating
Hatch,4.0 star rating
TAPS Fish House & Brewery,3.5 star rating
Eureka!,3.5 star rating
Tasty Noodle House,3.0 star rating
Indian Curry Cuisine,4.0 star rating
Apola Gyro Grill,4.5 star rating
Pokenoya,4.5 star rating
Falasophy Food Truck,4.5 star rating
Biryani Pot Express,4.0 star rating
Wood Ranch BBQ & Grill,3.5 star rating
Tender Greens,4.0 star rating
La Sirena Grill,4.0 star rating
Lazy Dog Restaurant & Bar,3.5 star rating
Crazy Rock’N Sushi,4.0 star rating
G Burger - Irvine,4.0 star rating
Pho Saigon Pearl,3.5 star rating
Din Tai Fung,4.0 star rating
TRADE,4.0 star rating
Paul Martin’s American Grill,3.5 star rating
House of Shabu Shabu,3.5 star rating
Chef Hung Taiwanese Beef Noodle,3.0 star rating
Pho Saigon Pearl,3.5 star rating
The Hungry Royal,5.0 star rating
TAPS Fish House & Brewery,3.5 star rating
Curry House,3.5 star rating
Wildfish Seafood Grille & Steaks,4.5 star rating
H2O Poke & Grill,4.0 star rating
Tupelo Junction Cafe,5.0 star rating
Luna Grill - Irvine Spectrum Center,4.0 star rating
BBQ Chicken,3.0 star rating
Ironwood Cellar Craft Cook,4.5 star rating
nFuse Restaurant| Bar & Lounge,4.0 star rating
Chapter One: the modern local,3.5 star rating
The Burnt Truck,4.5 star rating
Fresh Brothers,4.0 star rating
Pho Saigon Pearl,3.5 star rating
Tender Greens,4.0 star rating
TAPS Fish House & Brewery,3.5 star rating
Curry House,3.5 star rating
Urban Plates,4.0 star rating
The Hungry Royal,5.0 star rating
Pokenoya,4.5 star rating
In-N-Out Burger,4.5 star rating
Ritter’s Steam Kettle Cooking,4.0 star rating
The Kickin’ Crab,3.5 star rating
Pub Thirty Two,4.0 star rating
Yushoken Izakaya & Ramen,3.0 star rating
Centro Collective,4.5 star rating
The Deck on Laguna Beach,4.0 star rating
Hashigo Korean Kitchen,4.0 star rating
O Fine Japanese Cuisine,4.0 star rating
Urban Plates,4.0 star rating
Chong Qing Mei Wei Szechuan Restaurant,3.5 star rating
Yushoken Izakaya & Ramen,3.0 star rating
Eats Kitchen & Bar,4.0 star rating
Tupelo Junction Cafe,5.0 star rating
K Pop Sushi,4.5 star rating
Popcorn Chicken,3.5 star rating
Yu’s Garden,3.5 star rating
DonerG Turkish & Mediterranean Grill - Irvine,3.5 star rating
MOD Pizza,4.0 star rating
Fresh Brothers,4.0 star rating
Chronic Tacos,3.5 star rating
Thai Kitchen,3.5 star rating
Luna Grill - Irvine Spectrum Center,4.0 star rating
Irvine Cafe,4.0 star rating
Veggie Grill,4.0 star rating
Cambalache Grill,5.0 star rating
Crazy Rock’N Sushi,4.0 star rating
Honey Pig BBQ,3.0 star rating
Lola Gaspar,4.0 star rating
101 Noodle Express,3.5 star rating
SideDoor,4.0 star rating
O Fine Japanese Cuisine,4.0 star rating
Capital Seafood Restaurant,3.0 star rating
Wildfish Seafood Grille & Steaks,4.5 star rating
Hashigo Korean Kitchen,4.0 star rating
Playground 2.0,5.0 star rating
Pieology Pizzeria,4.0 star rating
Dos Chinos,3.5 star rating
Lola Gaspar,4.0 star rating
Spicy Addiction,3.5 star rating
Kabuki Japanese Restaurant,3.5 star rating
Habuya Okinawan Dining,4.0 star rating
Anthill Pub & Grille,4.0 star rating
Ironwood Cellar Craft Cook,4.5 star rating
Blaze Fast-Fire’d Pizza,4.0 star rating
